"Name_eBird","Names_Birdlife","nb_spc"
"Sclerurus.scansor","Sclerurus.cearensis Sclerurus.scansor",2
"Selenidera.reinwardtii","Selenidera.langsdorffii Selenidera.reinwardtii",2
"Setophaga.coronata","Setophaga.auduboni Setophaga.coronata",2
"Setophaga.pitiayumi","Setophaga.graysoni Setophaga.pitiayumi",2
"Sitta.pusilla","Sitta.insularis Sitta.pusilla",2
"Sittasomus.griseicapillus","Sittasomus.griseicapillus Sittasomus.griseus",2
"Sphenopsis.melanotis","Sphenopsis.melanotis Sphenopsis.ochracea Sphenopsis.piurae",3
"Sporophila.corvina","Sporophila.corvina Sporophila.ophthalmica",2
"Stelgidopteryx.serripennis","Stelgidopteryx.ridgwayi Stelgidopteryx.serripennis",2
"Stigmatura.napensis","Stigmatura.bahiae Stigmatura.napensis",2
"Streptopelia.decaocto","Streptopelia.decaocto",1
"Synallaxis.albilora","Synallaxis.albilora Synallaxis.simoni",2
"Synallaxis.stictothorax","Synallaxis.chinchipensis Synallaxis.stictothorax",2
"Systellura.longirostris","Systellura.longirostris",1
"Taeniopygia.guttata","Taeniopygia.castanotis",1
"Tangara.arthus","Tangara.arthus Tangara.aurulenta",2
"Tangara.cyanoptera","Tangara.cyanoptera",1
"Tangara.mexicana","Tangara.brasiliensis Tangara.mexicana",2
"Tangara.parzudakii","Tangara.lunigera Tangara.parzudakii",2
"Tangara.vassorii","Tangara.atrocoerulea Tangara.vassorii",2
"Tangara.velia","Tangara.cyanomelas Tangara.velia",2
"Thalassarche.chlororhynchos","Thalassarche.chlororhynchos",1
"Thalassarche.melanophris","Thalassarche.melanophris",1
"Thamnistes.anabatinus","Thamnistes.aequatorialis Thamnistes.anabatinus",2
"Thamnophilus.bernardi","Thamnophilus.bernardi Thamnophilus.shumbae",2
"Thamnophilus.ruficapillus","Thamnophilus.ruficapillus Thamnophilus.subfasciatus",2
"Theristicus.melanopis","Theristicus.branickii Theristicus.melanopis",2
"Threskiornis.aethiopicus","Threskiornis.aethiopicus",1
"Thryothorus.ludovicianus","Thryothorus.albinucha Thryothorus.ludovicianus",2
"Tityra.cayana","Tityra.braziliensis Tityra.cayana",2
"Tolmomyias.assimilis","Tolmomyias.assimilis Tolmomyias.flavotectus",2
"Tolmomyias.flaviventris","Tolmomyias.flaviventris Tolmomyias.viridiceps",2
"Trochilus.polytmus","Trochilus.polytmus Trochilus.scitulus",2
